physical_error_rate,num_errors,num_shots
1e-05,8,390748
2e-05,52,509782
5e-05,300,451976
0.0001,300,99724
0.00025,303,10987
0.0005,315,2223
0.001,359,631
0.0015,83,92
0.00175,197,201
