physical_error_rate,num_errors,num_shots
7.5e-05,26,1801505
0.0001,127,4677572
0.00025,512,2277113
0.0005,529,473525
0.001,586,97894
0.0025,894,14966
0.005,1270,4205
0.01,1628,2011
