num_qubits,space_time_volume
10,64350
20,128700
30,128700
40,322650
50,430200
60,430200
70,753750
80,753750
90,904500
100,1357650
110,1357650
120,1551600
130,2134350
140,2134350
150,2371500
160,2371500
170,3083850
180,3364200
190,3364200
200,4206150
210,4529700
220,4529700
230,5501250
240,5501250
250,5868000
260,6969150
270,6969150
280,7379100
290,8609850
300,8609850
310,9063000
320,9063000
330,10423350
340,10919700
350,10919700
