num_qubits,space_time_volume
10,26240
20,113920
30,240000
40,412160
50,617600
60,848640
70,1115520
80,1418240
90,1733760
100,2105600
110,2485120
120,2895360
130,3336320
140,3808000
150,4348800
160,4843520
170,5407360
180,6001920
190,6627200
200,7283200
210,7969920
220,8631040
230,9376640
240,10152960
250,10896000
260,11731200
270,12597120
280,13422080
290,14346880
300,15225600
310,16209280
320,17141760
330,18184320
340,19170560
350,20272000
