physical_error_rate,num_errors,num_shots
1e-05,10,106754052
2e-05,66,106472755
5e-05,30,9825410
0.0001,55,3256202
0.00025,121,993500
0.0005,121,158311
0.001,127,27256
0.002,269,8936
0.003,712,7810
