physical_error_rates,num_shots,num_errors
0.000025,10000000,41
0.00005,10000000,117
0.000075,10000000,228
0.0001,10000000,428
0.00025,10000000,2888
0.0005,8459362,9981
0.00075,3605008,10000
0.001,1882698,10000
0.005,42847,10000
0.01,13061,10000
