physical_error_rates,num_shots,num_errors
0.000025,10000000,40
0.00005,10000000,124
0.000075,10000000,244
0.0001,10000000,475
0.00025,10000000,3134
0.0005,7321291,10000
0.00075,3005487,10000
0.001,1559644,10000
0.005,36247,10000
0.01,12662,10000
