physical_error_rates,num_shots,num_errors
0.000025,10000000,3
0.00005,10000000,12
0.000075,10000000,28
0.0001,10000000,51
0.00025,10000000,290
0.0005,10000000,1255
0.00075,10000000,2781
0.001,10000000,5279
0.005,10000000,172713
0.01,10000000,781659
