physical_error_rates,num_shots,num_errors
0.000025,10000000,0
0.00005,10000000,0
0.000075,10000000,0
0.0001,10000000,0
0.00025,10000000,0
0.0005,10000000,1
0.00075,10000000,6
0.001,10000000,23
0.005,10000000,38249
0.01,10000000,907704
