physical_error_rates,num_shots,num_errors
0.000025,10000000,41
0.00005,10000000,119
0.000075,10000000,232
0.0001,10000000,434
0.00025,10000000,2898
0.0005,8559326,9981
0.00075,3666384,10000
0.001,1941058,10000
0.005,45538,10000
0.01,13286,10000
