physical_error_rate,num_errors,num_shots
0.0002,609,541727734
0.0003,613,176784512
0.0005,706,42941366
0.00075,916,15562339
0.001,891,6701602
0.002,1692,1590202
0.003,969,295462
0.005,1899,134895
0.0075,2756,64444
0.01,4053,48332
