num_qubits,space_time_volume
10,104960
20,455680
30,960000
40,1648640
50,2470400
60,3394560
70,4462080
80,5672960
90,6935040
100,8422400
110,9940480
120,11581440
130,13345280
140,15232000
150,17395200
160,19374080
170,21629440
180,24007680
190,26508800
200,29132800
210,31879680
220,34524160
230,37506560
240,40611840
250,43584000
260,46924800
270,50388480
280,53688320
290,57387520
300,60902400
310,64837120
320,68567040
330,72737280
340,76682240
350,81088000
