physical_error_rate,num_errors,num_shots
0.0001,78,3385745
0.0002,104,964143
0.0003,213,733917
0.0005,495,538819
0.00075,501,188645
0.001,291,51938
0.002,515,15752
0.003,533,5501
0.005,592,1969
0.0075,646,1053
0.01,683,825
